,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
20,IXIC,20240301,16109.83,16274.94,16302.24,16096.6,16091.92,183.02,1.14,1.28,1103122.0
21,IXIC,20240229,16059.34,16091.92,16115.96,15931.7,15947.74,144.18,0.9,1.16,1647700.0
22,IXIC,20240228,15969.14,15947.74,16003.56,15924.72,16035.3,-87.56,-0.55,0.49,1099625.0
23,IXIC,20240227,16013.98,16035.3,16046.1,15940.51,15976.25,59.05,0.37,0.66,1098362.0
24,IXIC,20240226,16014.45,15976.25,16054.9,15973.9,15996.82,-20.57,-0.13,0.51,1059853.0
25,IXIC,20240223,16094.81,15996.82,16134.22,15954.5,16041.62,-44.8,-0.28,1.12,1000096.9
26,IXIC,20240222,15904.48,16041.62,16061.82,15869.24,15580.87,460.75,2.96,1.24,1143922.0
27,IXIC,20240221,15532.12,15580.87,15583.68,15451.65,15630.78,-49.91,-0.32,0.84,984019.88
28,IXIC,20240220,15679.84,15630.78,15730.47,15508.5,15775.65,-144.87,-0.92,1.41,1104341.0
29,IXIC,20240216,15910.43,15775.65,15917.41,15752.02,15906.17,-130.52,-0.82,1.04,1124766.0
30,IXIC,20240215,15865.3,15906.17,15911.22,15779.72,15859.15,47.02,0.3,0.83,1217294.0
31,IXIC,20240214,15781.71,15859.15,15865.51,15683.94,15655.6,203.55,1.3,1.16,1083936.0
32,IXIC,20240213,15598.88,15655.6,15770.42,15551.44,15942.55,-286.95,-1.8,1.37,1210207.0
33,IXIC,20240212,15980.62,15942.55,16080.07,15917.87,15990.66,-48.11,-0.3,1.01,1089716.0
34,IXIC,20240209,15842.38,15990.66,16007.29,15831.76,15793.71,196.95,1.25,1.11,1078789.0
35,IXIC,20240208,15762.23,15793.71,15813.27,15739.18,15756.64,37.07,0.24,0.47,1019300.9
36,IXIC,20240207,15690.36,15756.64,15770.68,15645.81,15609.0,147.64,0.95,0.8,943128.44
37,IXIC,20240206,15638.2,15609.0,15652.75,15515.25,15597.68,11.32,0.07,0.88,931545.44
38,IXIC,20240205,15613.99,15597.68,15637.88,15471.68,15628.95,-31.27,-0.2,1.06,923280.0
39,IXIC,20240202,15403.16,15628.95,15664.21,15366.78,15361.64,267.31,1.74,1.94,956871.25
40,IXIC,20240201,15254.02,15361.64,15372.13,15208.88,15164.01,197.63,1.3,1.08,1006519.9
41,IXIC,20240131,15324.19,15164.01,15405.55,15158.49,15509.9,-345.89,-2.23,1.59,1286879.0
42,IXIC,20240130,15604.08,15509.9,15619.23,15484.67,15628.04,-118.14,-0.76,0.86,915718.38
43,IXIC,20240129,15470.66,15628.04,15630.58,15449.87,15455.36,172.68,1.12,1.17,959391.75
44,IXIC,20240126,15474.85,15455.36,15538.84,15433.04,15510.5,-55.14,-0.36,0.68,857495.94
45,IXIC,20240125,15555.62,15510.5,15597.25,15430.68,15481.92,28.58,0.18,1.08,998984.13
46,IXIC,20240124,15560.61,15481.92,15629.07,15468.91,15425.94,55.98,0.36,1.04,932894.44
47,IXIC,20240123,15391.41,15425.94,15432.35,15337.23,15360.29,65.65,0.43,0.62,959535.75
48,IXIC,20240122,15393.05,15360.29,15438.85,15333.63,15310.97,49.32,0.32,0.69,1035858.8
49,IXIC,20240119,15122.38,15310.97,15310.97,15087.2,15055.65,255.32,1.7,1.49,1138787.0
50,IXIC,20240118,14994.52,15055.65,15066.81,14911.11,14855.62,200.03,1.35,1.05,1035656.5
51,IXIC,20240117,14814.77,14855.62,14865.76,14706.23,14944.35,-88.73,-0.59,1.07,944498.82
52,IXIC,20240116,14908.26,14944.35,15004.35,14863.81,14972.76,-28.41,-0.19,0.94,1097388.0
53,IXIC,20240112,15001.01,14972.76,15047.25,14931.88,14970.19,2.57,0.02,0.77,865505.13
54,IXIC,20240111,15020.95,14970.19,15063.61,14800.38,14969.65,0.54,0.0,1.76,1002325.7
55,IXIC,20240110,14877.7,14969.65,14998.2,14842.7,14857.71,111.94,0.75,1.05,904427.32
56,IXIC,20240109,14744.13,14857.71,14894.32,14716.71,14843.77,13.94,0.09,1.2,959655.44
57,IXIC,20240108,14564.47,14843.77,14846.9,14560.2,14524.07,319.7,2.2,1.97,1140646.0
58,IXIC,20240105,14500.11,14524.07,14625.19,14477.57,14510.3,13.77,0.09,1.02,1011987.5
59,IXIC,20240104,14532.23,14510.3,14632.77,14504.78,14592.21,-81.91,-0.56,0.88,1038937.4
60,IXIC,20240103,14641.47,14592.21,14694.58,14577.44,14765.94,-173.73,-1.18,0.79,1063198.0
61,IXIC,20240102,14873.7,14765.94,14887.8,14682.38,15011.35,-245.41,-1.63,1.37,1075093.0
62,IXIC,20231229,15099.2,15011.35,15111.41,14955.37,15095.14,-83.79,-0.56,1.03,1040204.7
63,IXIC,20231228,15142.09,15095.14,15150.07,15087.22,15099.18,-4.04,-0.03,0.42,907137.38
64,IXIC,20231227,15089.67,15099.18,15114.08,15051.67,15074.57,24.61,0.16,0.41,1068604.0
65,IXIC,20231226,15028.69,15074.57,15101.18,15024.06,14992.97,81.6,0.54,0.51,871343.82
66,IXIC,20231222,15006.18,14992.97,15047.19,14927.12,14963.87,29.1,0.19,0.8,880441.82
67,IXIC,20231221,14923.14,14963.87,14970.81,14837.47,14777.94,185.93,1.26,0.9,945082.57
68,IXIC,20231220,14973.36,14777.94,15069.29,14776.29,15003.22,-225.28,-1.5,1.95,1200898.0
69,IXIC,20231219,14923.02,15003.22,15003.8,14921.6,14905.2,98.02,0.66,0.55,1127928.0
70,IXIC,20231218,14814.02,14905.19,14938.04,14811.82,14813.92,91.27,0.62,0.85,1151265.0
71,IXIC,20231215,14797.47,14813.92,14848.4,14753.15,14761.56,52.36,0.35,0.65,3347043.0
72,IXIC,20231214,14798.72,14761.56,14855.62,14642.23,14733.96,27.6,0.19,1.45,1578153.0
73,IXIC,20231213,14555.68,14733.96,14743.55,14517.52,14533.4,200.56,1.38,1.56,1125670.0
74,IXIC,20231212,14423.01,14533.4,14533.4,14385.39,14432.49,100.91,0.7,1.03,939560.13
75,IXIC,20231211,14340.13,14432.49,14436.08,14324.57,14403.97,28.52,0.2,0.77,1049572.0
76,IXIC,20231208,14279.45,14403.97,14416.92,14264.96,14339.99,63.98,0.45,1.06,997651.13
77,IXIC,20231207,14230.43,14339.99,14353.11,14220.87,14146.71,193.28,1.37,0.93,1048604.0
78,IXIC,20231206,14325.62,14146.71,14327.63,14138.51,14229.91,-83.2,-0.58,1.33,1021427.5
79,IXIC,20231205,14126.4,14229.91,14285.66,14121.76,14185.49,44.42,0.31,1.16,1107891.0
80,IXIC,20231204,14168.67,14185.49,14197.52,14058.52,14305.03,-119.54,-0.84,0.97,1180704.0
81,IXIC,20231201,14181.36,14305.03,14311.95,14135.0,14226.22,78.81,0.55,1.24,1090837.0
82,IXIC,20231130,14265.05,14226.22,14289.2,14127.05,14258.49,-32.27,-0.23,1.14,1532509.0
83,IXIC,20231129,14367.11,14258.49,14423.22,14247.89,14281.76,-23.27,-0.16,1.23,979431.88
84,IXIC,20231128,14224.63,14281.76,14303.65,14195.72,14241.02,40.74,0.29,0.76,870613.25
85,IXIC,20231127,14239.31,14241.02,14305.71,14205.24,14250.85,-9.83,-0.07,0.71,839281.25
86,IXIC,20231124,14238.04,14250.85,14270.28,14214.13,14265.86,-15.01,-0.11,0.39,441684.13
87,IXIC,20231122,14283.82,14265.86,14359.61,14226.63,14199.98,65.88,0.46,0.94,717394.25
88,IXIC,20231121,14217.23,14199.98,14237.5,14146.31,14284.53,-84.55,-0.59,0.64,815365.38
89,IXIC,20231120,14134.75,14284.53,14309.8,14134.2,14125.48,159.05,1.13,1.24,902049.0
90,IXIC,20231117,14101.43,14125.48,14154.32,14063.93,14113.67,11.81,0.08,0.64,946655.38
91,IXIC,20231116,14066.88,14113.67,14130.45,14033.79,14103.84,9.83,0.07,0.69,925110.88
92,IXIC,20231115,14147.27,14103.84,14194.36,14060.7,14094.38,9.46,0.07,0.95,1059067.0
93,IXIC,20231114,14015.37,14094.38,14124.06,14003.14,13767.74,326.64,2.37,0.88,1113985.0
94,IXIC,20231113,13745.96,13767.74,13805.11,13687.78,13798.11,-30.37,-0.22,0.85,837613.19
95,IXIC,20231110,13571.19,13798.11,13802.53,13556.35,13521.45,276.66,2.05,1.82,998708.25
96,IXIC,20231109,13693.7,13521.45,13697.82,13506.02,13650.41,-128.96,-0.94,1.41,1043124.5
97,IXIC,20231108,13660.22,13650.41,13684.87,13573.58,13639.86,10.55,0.08,0.82,956590.88
98,IXIC,20231107,13555.79,13639.86,13675.46,13516.56,13518.78,121.08,0.9,1.18,896949.82
99,IXIC,20231106,13514.08,13518.78,13551.62,13435.99,13478.28,40.5,0.3,0.86,912887.13
100,IXIC,20231103,13362.85,13478.28,13520.28,13344.73,13294.19,184.09,1.38,1.32,1020968.6
101,IXIC,20231102,13230.49,13294.19,13302.18,13177.64,13061.47,232.72,1.78,0.95,1025306.2
102,IXIC,20231101,12887.06,13061.47,13072.42,12875.2,12851.24,210.23,1.64,1.53,937649.25
103,IXIC,20231031,12786.62,12851.24,12859.4,12697.04,12789.48,61.76,0.48,1.27,914041.82
104,IXIC,20231030,12750.47,12789.48,12842.96,12691.56,12643.01,146.47,1.16,1.2,801655.32
105,IXIC,20231027,12718.69,12643.01,12772.43,12600.57,12595.61,47.4,0.38,1.36,856376.19
106,IXIC,20231026,12768.97,12595.61,12818.14,12543.86,12821.22,-225.61,-1.76,2.14,941235.32
107,IXIC,20231025,13039.86,12821.22,13042.52,12804.3,13139.87,-318.65,-2.43,1.81,950797.32
108,IXIC,20231024,13084.99,13139.87,13170.39,13022.85,13018.33,121.54,0.93,1.13,878120.88
109,IXIC,20231023,12930.85,13018.33,13143.22,12848.83,12983.81,34.52,0.27,2.27,859065.13
110,IXIC,20231020,13157.77,12983.81,13177.35,12977.43,13186.18,-202.37,-1.53,1.52,1027969.4
111,IXIC,20231019,13354.8,13186.18,13404.73,13157.33,13314.3,-128.12,-0.96,1.86,920002.75
112,IXIC,20231018,13439.68,13314.3,13499.74,13275.3,13533.75,-219.45,-1.62,1.66,843059.63
113,IXIC,20231017,13419.87,13533.75,13602.25,13364.74,13567.98,-34.23,-0.25,1.75,906423.44
114,IXIC,20231016,13453.81,13567.98,13598.05,13447.17,13407.23,160.75,1.2,1.13,832451.25
115,IXIC,20231013,13613.59,13407.23,13619.54,13361.85,13574.22,-166.99,-1.23,1.9,843479.44
116,IXIC,20231012,13672.47,13574.22,13714.14,13491.56,13659.68,-85.46,-0.63,1.63,921269.44
117,IXIC,20231011,13619.22,13659.68,13671.11,13549.29,13562.84,96.84,0.71,0.9,797053.88
118,IXIC,20231010,13505.81,13562.84,13659.63,13491.81,13484.24,78.6,0.58,1.24,823865.13
119,IXIC,20231009,13326.22,13484.24,13509.3,13277.48,13431.34,52.9,0.39,1.73,723949.69
120,IXIC,20231006,13127.68,13431.34,13472.27,13099.03,13219.83,211.51,1.6,2.82,860517.75
121,IXIC,20231005,13228.12,13219.83,13251.18,13087.57,13236.01,-16.18,-0.12,1.24,869997.13
122,IXIC,20231004,13092.92,13236.01,13258.76,13072.51,13059.47,176.54,1.35,1.43,854217.19
123,IXIC,20231003,13229.68,13059.47,13280.04,13008.6,13307.77,-248.3,-1.87,2.04,889310.38
124,IXIC,20231002,13217.99,13307.77,13364.03,13204.08,13219.32,88.45,0.67,1.21,877571.07
125,IXIC,20230929,13337.71,13219.32,13382.98,13177.09,13201.28,18.04,0.14,1.56,1021380.2
126,IXIC,20230928,13043.37,13201.28,13270.97,13025.11,13092.85,108.43,0.83,1.88,884748.07
127,IXIC,20230927,13115.36,13092.85,13156.37,12963.16,13063.61,29.24,0.22,1.48,894109.5
128,IXIC,20230926,13180.97,13063.61,13199.13,13033.4,13271.32,-207.71,-1.57,1.25,891035.63
129,IXIC,20230925,13172.54,13271.32,13277.83,13132.0,13211.81,59.51,0.45,1.1,769222.88
130,IXIC,20230922,13287.17,13211.81,13353.22,13200.64,13223.98,-12.17,-0.09,1.15,831543.69
131,IXIC,20230921,13328.06,13223.98,13362.23,13222.56,13469.13,-245.15,-1.82,1.04,928738.25
132,IXIC,20230920,13710.26,13469.13,13727.81,13467.28,13678.19,-209.06,-1.53,1.9,835283.63
133,IXIC,20230919,13649.44,13678.19,13705.15,13578.87,13710.24,-32.05,-0.23,0.92,881732.88
134,IXIC,20230918,13669.95,13710.24,13751.28,13663.46,13708.33,1.91,0.01,0.64,962571.25
135,IXIC,20230915,13889.2,13708.33,13895.75,13684.24,13926.05,-217.72,-1.56,1.52,3045403.0
136,IXIC,20230914,13889.76,13926.05,13957.57,13810.66,13813.59,112.46,0.81,1.06,930531.32
137,IXIC,20230913,13773.67,13813.59,13868.57,13733.82,13773.61,39.98,0.29,0.98,929030.07
138,IXIC,20230912,13858.94,13773.61,13913.6,13763.69,13917.89,-144.28,-1.04,1.08,853610.07
139,IXIC,20230911,13884.04,13917.89,13937.47,13805.13,13761.53,156.36,1.14,0.96,853336.82
140,IXIC,20230908,13754.71,13761.53,13843.37,13733.18,13748.83,12.7,0.09,0.8,781910.82
141,IXIC,20230907,13675.11,13748.83,13774.63,13642.47,13872.47,-123.64,-0.89,0.95,920580.88
142,IXIC,20230906,13988.81,13872.47,14001.95,13802.42,14020.95,-148.48,-1.06,1.42,826452.38
143,IXIC,20230905,13994.54,14020.95,14060.85,13945.65,14031.81,-10.86,-0.08,0.82,882281.75
144,IXIC,20230901,14129.97,14031.81,14149.62,13982.42,14034.97,-3.16,-0.02,1.19,820130.0
145,IXIC,20230831,14041.54,14034.97,14114.67,14010.48,14019.31,15.66,0.11,0.74,1133624.0
146,IXIC,20230830,13961.77,14019.31,14050.82,13924.2,13943.76,75.55,0.54,0.91,829227.57
147,IXIC,20230829,13687.23,13943.76,13959.81,13677.06,13705.13,238.63,1.74,2.06,865540.5
148,IXIC,20230828,13695.36,13705.13,13735.98,13626.64,13590.65,114.48,0.84,0.8,674530.07
149,IXIC,20230825,13514.37,13590.65,13633.42,13376.35,13463.97,126.68,0.94,1.91,782118.63
150,IXIC,20230824,13834.31,13463.97,13834.69,13462.84,13721.03,-257.06,-1.87,2.71,891760.32
151,IXIC,20230823,13532.43,13721.03,13757.0,13532.43,13505.87,215.16,1.59,1.66,811820.75
152,IXIC,20230822,13593.95,13505.87,13598.77,13484.38,13497.59,8.28,0.06,0.85,780238.5
153,IXIC,20230821,13347.26,13497.59,13516.86,13325.59,13290.78,206.81,1.56,1.44,828819.88
154,IXIC,20230818,13190.02,13290.78,13335.87,13161.76,13316.93,-26.15,-0.2,1.31,980917.13
155,IXIC,20230817,13527.3,13316.93,13535.09,13303.45,13474.63,-157.7,-1.17,1.72,956293.82
156,IXIC,20230816,13593.17,13474.63,13644.32,13473.03,13631.05,-156.42,-1.15,1.26,993026.88
157,IXIC,20230815,13760.48,13631.05,13774.98,13611.94,13788.33,-157.28,-1.14,1.18,816645.88
158,IXIC,20230814,13599.0,13788.33,13789.16,13582.49,13644.85,143.48,1.05,1.51,836912.19
159,IXIC,20230811,13633.65,13644.85,13720.33,13609.98,13737.99,-93.14,-0.68,0.8,842278.57
160,IXIC,20230810,13818.25,13737.99,13947.16,13686.51,13722.02,15.97,0.12,1.9,979715.0
161,IXIC,20230809,13897.61,13722.02,13898.54,13698.39,13884.32,-162.3,-1.17,1.44,1058984.0
162,IXIC,20230808,13875.45,13884.32,13899.74,13769.34,13994.4,-110.08,-0.79,0.93,1043109.5
163,IXIC,20230807,13972.45,13994.4,13997.15,13864.92,13909.24,85.16,0.61,0.95,957810.38
164,IXIC,20230804,14025.96,13909.24,14119.22,13897.93,13959.72,-50.48,-0.36,1.59,1001559.0
165,IXIC,20230803,13899.76,13959.72,14032.28,13881.35,13973.45,-13.73,-0.1,1.08,1033769.9
166,IXIC,20230802,14132.73,13973.45,14133.85,13914.81,14283.91,-310.46,-2.17,1.53,1060407.0
167,IXIC,20230801,14274.93,14283.91,14309.21,14215.64,14346.02,-62.11,-0.43,0.65,909916.75
168,IXIC,20230731,14337.9,14346.02,14370.91,14292.75,14316.66,29.36,0.21,0.55,1080094.0
169,IXIC,20230728,14199.83,14316.66,14344.35,14188.1,14050.11,266.55,1.9,1.11,937553.13
170,IXIC,20230727,14319.16,14050.11,14360.2,14006.93,14127.28,-77.17,-0.55,2.5,1000564.4
171,IXIC,20230726,14123.52,14127.28,14187.35,14041.95,14144.56,-17.28,-0.12,1.03,883422.94
172,IXIC,20230725,14093.24,14144.56,14201.91,14092.52,14058.87,85.69,0.61,0.78,864052.94
173,IXIC,20230724,14081.63,14058.87,14110.15,13997.13,14032.81,26.06,0.19,0.81,812224.0
174,IXIC,20230721,14148.18,14032.81,14179.01,14020.45,14063.31,-30.5,-0.22,1.13,1453522.0
175,IXIC,20230720,14273.29,14063.31,14309.92,14030.62,14358.02,-294.71,-2.05,1.95,996235.75
176,IXIC,20230719,14398.53,14358.02,14446.55,14317.09,14353.64,4.38,0.03,0.9,978624.63
177,IXIC,20230718,14212.25,14353.64,14396.69,14176.11,14244.95,108.69,0.76,1.55,930196.13
178,IXIC,20230717,14149.92,14244.95,14274.41,14138.01,14113.7,131.25,0.93,0.97,914532.38
179,IXIC,20230714,14166.66,14113.7,14232.11,14081.96,14138.57,-24.87,-0.18,1.06,996351.63
180,IXIC,20230713,14021.15,14138.57,14163.8,14012.24,13918.96,219.61,1.58,1.09,962459.07
181,IXIC,20230712,13915.64,13918.96,13963.45,13842.13,13760.7,158.26,1.15,0.88,1013140.5
182,IXIC,20230711,13709.82,13760.7,13774.83,13643.32,13685.48,75.22,0.55,0.96,913097.32
183,IXIC,20230710,13645.37,13685.48,13692.41,13584.87,13660.72,24.76,0.18,0.79,1001874.4
184,IXIC,20230707,13668.07,13660.72,13804.51,13656.73,13679.04,-18.32,-0.13,1.08,949893.13
185,IXIC,20230706,13653.17,13679.04,13689.52,13567.25,13791.65,-112.61,-0.82,0.89,1036352.0
186,IXIC,20230705,13772.11,13791.65,13844.5,13764.25,13816.77,-25.12,-0.18,0.58,937604.13
187,IXIC,20230703,13798.7,13816.77,13839.09,13773.41,13787.92,28.85,0.21,0.48,583699.32
188,IXIC,20230630,13719.98,13787.92,13816.68,13716.16,13591.33,196.59,1.45,0.74,1065945.0
189,IXIC,20230629,13592.36,13591.33,13618.53,13540.26,13591.75,-0.42,0.0,0.58,871641.69
190,IXIC,20230628,13506.02,13591.75,13654.14,13495.73,13555.67,36.08,0.27,1.17,890517.5
191,IXIC,20230627,13389.25,13555.67,13578.8,13366.97,13335.78,219.89,1.65,1.59,966180.57
192,IXIC,20230626,13468.75,13335.78,13573.57,13334.42,13492.52,-156.74,-1.16,1.77,936281.63
193,IXIC,20230623,13484.1,13492.52,13572.19,13442.65,13630.61,-138.09,-1.01,0.95,3359939.0
194,IXIC,20230622,13443.41,13630.61,13631.85,13441.56,13502.2,128.41,0.95,1.41,898274.0
195,IXIC,20230621,13620.87,13502.2,13638.57,13460.94,13667.29,-165.09,-1.21,1.3,1063460.0
196,IXIC,20230620,13642.3,13667.29,13711.18,13561.84,13689.57,-22.28,-0.16,1.09,1127889.0
197,IXIC,20230616,13859.07,13689.57,13864.06,13680.95,13782.82,-93.25,-0.68,1.33,2917543.0
198,IXIC,20230615,13572.88,13782.82,13828.17,13561.37,13626.48,156.34,1.15,1.96,1129049.0
199,IXIC,20230614,13570.56,13626.48,13661.74,13455.99,13573.32,53.16,0.39,1.52,1159067.0
200,IXIC,20230613,13566.52,13573.32,13594.4,13473.19,13461.92,111.4,0.83,0.9,1035949.5
201,IXIC,20230612,13326.37,13461.92,13465.91,13302.58,13259.14,202.78,1.53,1.23,974529.94
202,IXIC,20230609,13312.4,13259.14,13385.95,13229.33,13238.52,20.62,0.16,1.18,899237.25
203,IXIC,20230608,13113.27,13238.52,13248.6,13101.18,13104.89,133.63,1.02,1.12,873243.75
204,IXIC,20230607,13295.26,13104.89,13361.9,13089.48,13276.42,-171.53,-1.29,2.05,1110059.0
205,IXIC,20230606,13199.59,13276.42,13306.21,13165.65,13229.43,46.99,0.36,1.06,978702.25
206,IXIC,20230605,13238.49,13229.43,13330.65,13194.95,13240.77,-11.34,-0.09,1.02,887677.88
207,IXIC,20230602,13190.48,13240.77,13256.21,13125.86,13100.98,139.79,1.07,0.99,941893.07
208,IXIC,20230601,12944.47,13100.98,13141.83,12903.63,12935.29,165.69,1.28,1.84,957132.25
209,IXIC,20230531,12968.38,12935.29,13029.08,12889.37,13017.43,-82.14,-0.63,1.07,1938131.0
210,IXIC,20230530,13109.1,13017.43,13154.29,12968.12,12975.69,41.74,0.32,1.43,969208.0
211,IXIC,20230526,12736.42,12975.69,13001.91,12729.74,12698.09,277.6,2.19,2.14,914767.94
212,IXIC,20230525,12706.44,12698.09,12736.92,12604.89,12484.16,213.93,1.71,1.06,970495.0
213,IXIC,20230524,12481.9,12484.16,12529.63,12415.85,12560.25,-76.09,-0.61,0.91,842720.0
214,IXIC,20230523,12652.88,12560.25,12709.74,12554.43,12720.78,-160.53,-1.26,1.22,899726.88
215,IXIC,20230522,12664.44,12720.78,12756.22,12655.26,12657.9,62.88,0.5,0.8,886963.13
216,IXIC,20230519,12709.47,12657.9,12731.73,12624.06,12688.84,-30.94,-0.24,0.85,899334.94
217,IXIC,20230518,12513.87,12688.84,12698.5,12512.26,12500.57,188.27,1.51,1.49,932194.5
218,IXIC,20230517,12388.58,12500.57,12514.07,12335.02,12343.05,157.52,1.28,1.45,936594.57
219,IXIC,20230516,12327.06,12343.05,12403.81,12324.52,12365.21,-22.16,-0.18,0.64,857543.63
220,IXIC,20230515,12301.17,12365.21,12376.4,12263.35,12284.74,80.47,0.66,0.92,857249.88
221,IXIC,20230512,12350.52,12284.74,12364.65,12209.58,12328.51,-43.77,-0.36,1.26,865584.94
222,IXIC,20230511,12321.26,12328.51,12347.38,12255.44,12306.44,22.07,0.18,0.75,934310.25
223,IXIC,20230510,12286.67,12306.44,12337.69,12180.86,12179.55,126.89,1.04,1.29,1035463.6
224,IXIC,20230509,12195.78,12179.55,12216.13,12174.06,12256.92,-77.37,-0.63,0.34,899762.69
225,IXIC,20230508,12231.68,12256.92,12264.99,12178.26,12235.41,21.51,0.18,0.71,882595.07
226,IXIC,20230505,12073.03,12235.41,12264.83,12065.72,11966.4,269.01,2.25,1.66,1006179.3
227,IXIC,20230504,11997.34,11966.4,12033.15,11925.37,12025.33,-58.93,-0.49,0.9,1013938.0
228,IXIC,20230503,12097.04,12025.33,12212.55,12022.46,12080.51,-55.18,-0.46,1.57,1094312.0
229,IXIC,20230502,12198.02,12080.51,12206.58,12015.23,12212.6,-132.09,-1.08,1.57,1049273.0
230,IXIC,20230501,12210.05,12212.6,12261.32,12181.08,12226.58,-13.98,-0.11,0.66,926581.13
231,IXIC,20230428,12117.54,12226.59,12227.72,12082.57,12142.24,84.35,0.69,1.2,1073751.0
232,IXIC,20230427,11972.15,12142.24,12154.01,11950.92,11854.35,287.89,2.43,1.71,986429.38
233,IXIC,20230426,11854.35,11854.35,11967.99,11833.07,11799.16,55.19,0.47,1.14,973394.82
234,IXIC,20230425,11968.81,11799.16,11990.46,11798.77,12037.2,-238.04,-1.98,1.59,921374.57
235,IXIC,20230424,12053.47,12037.2,12103.58,11960.31,12072.46,-35.26,-0.29,1.19,853567.75
236,IXIC,20230421,12046.03,12072.46,12097.15,11986.82,12059.56,12.9,0.11,0.91,944774.57
237,IXIC,20230420,12039.08,12059.56,12155.96,12011.95,12157.23,-97.67,-0.8,1.18,899167.38
238,IXIC,20230419,12063.68,12157.23,12191.1,12060.17,12153.41,3.82,0.03,1.08,879485.88
239,IXIC,20230418,12234.56,12153.41,12245.43,12110.23,12157.72,-4.31,-0.04,1.11,883013.75
240,IXIC,20230417,12108.23,12157.72,12159.02,12064.1,12123.47,34.25,0.28,0.78,904578.57
241,IXIC,20230414,12117.92,12123.47,12205.72,12026.55,12166.27,-42.81,-0.35,1.47,874142.38
242,IXIC,20230413,11997.43,12166.27,12178.8,11995.94,11929.34,236.93,1.99,1.53,921411.94
243,IXIC,20230412,12110.87,11929.34,12134.5,11916.54,12031.88,-102.54,-0.85,1.81,916006.88
244,IXIC,20230411,12080.24,12031.88,12091.27,12011.4,12084.36,-52.48,-0.43,0.66,883239.25
245,IXIC,20230410,11975.14,12084.36,12084.95,11924.2,12087.96,-3.6,-0.03,1.33,862619.94
