,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
123,DJI,20231006,33040.7,33407.58,33557.69,32846.94,33119.57,288.01,0.87,2.15,336610.19
124,DJI,20231005,33099.23,33119.57,33174.38,32941.56,33129.55,-9.98,-0.03,0.7,278482.0
125,DJI,20231004,33034.18,33129.55,33156.45,32873.23,33002.38,127.17,0.39,0.86,288687.19
126,DJI,20231003,33318.84,33002.38,33398.54,32916.2,33433.35,-430.97,-1.29,1.44,295142.69
127,DJI,20231002,33455.5,33433.35,33511.91,33219.56,33507.5,-74.15,-0.22,0.87,275632.32
128,DJI,20230929,33882.61,33507.5,33893.68,33407.45,33666.34,-158.84,-0.47,1.44,322205.38
129,DJI,20230928,33519.44,33666.34,33777.9,33473.5,33550.27,116.07,0.35,0.91,278926.38
130,DJI,20230927,33682.81,33550.27,33731.65,33306.3,33618.88,-68.61,-0.2,1.27,302725.32
131,DJI,20230926,33862.68,33618.88,33879.93,33569.6,34006.88,-388.0,-1.14,0.91,282204.32
132,DJI,20230925,33907.59,34006.88,34017.53,33780.67,33963.84,43.04,0.13,0.7,230070.38
133,DJI,20230922,34077.08,33963.84,34156.15,33947.24,34070.42,-106.58,-0.31,0.61,271273.88
134,DJI,20230921,34332.23,34070.42,34378.3,34058.72,34440.88,-370.46,-1.08,0.93,334333.88
135,DJI,20230920,34575.5,34440.88,34776.28,34434.29,34517.73,-76.85,-0.22,0.99,294107.0
136,DJI,20230919,34571.84,34517.73,34597.56,34311.69,34624.3,-106.57,-0.31,0.83,287529.82
137,DJI,20230918,34612.29,34624.3,34725.06,34545.35,34618.24,6.06,0.02,0.52,257311.38
138,DJI,20230915,34902.04,34618.24,34902.04,34572.27,34907.11,-288.87,-0.83,0.94,592245.5
139,DJI,20230914,34687.5,34907.11,34977.97,34687.5,34575.53,331.58,0.96,0.84,308295.13
140,DJI,20230913,34667.28,34575.53,34767.11,34509.95,34645.99,-70.46,-0.2,0.74,298571.69
141,DJI,20230912,34620.02,34645.99,34852.61,34560.55,34663.72,-17.73,-0.05,0.84,318671.69
142,DJI,20230911,34650.01,34663.72,34784.52,34578.59,34576.59,87.13,0.25,0.6,295455.0
143,DJI,20230908,34487.41,34576.59,34627.85,34473.57,34500.73,75.86,0.22,0.45,295984.82
144,DJI,20230907,34351.18,34500.73,34560.86,34351.18,34443.19,57.54,0.17,0.61,391192.82
145,DJI,20230906,34611.68,34443.19,34611.68,34291.56,34641.97,-198.78,-0.57,0.92,308909.19
146,DJI,20230905,34843.22,34641.97,34871.26,34635.63,34837.71,-195.74,-0.56,0.68,286343.63
147,DJI,20230904,34876.24,34837.71,34979.18,34720.7,34837.71,0.0,0.0,0.74,289072.69
148,DJI,20230901,34876.24,34837.71,34979.18,34720.7,34721.91,115.8,0.33,0.74,289072.69
149,DJI,20230831,34909.09,34721.91,35070.21,34719.77,34890.24,-168.33,-0.48,1.0,349846.38
150,DJI,20230830,34847.8,34890.24,35025.57,34811.74,34852.67,37.57,0.11,0.61,238895.38
151,DJI,20230829,34531.12,34852.67,34864.42,34531.12,34559.98,292.69,0.85,0.96,264101.88
152,DJI,20230828,34441.64,34559.98,34652.91,34441.64,34346.9,213.08,0.62,0.62,227204.0
153,DJI,20230825,34217.06,34346.9,34441.91,34029.22,34099.42,247.48,0.73,1.21,257444.88
154,DJI,20230824,34439.83,34099.42,34694.68,34093.65,34472.98,-373.56,-1.08,1.74,348998.5
155,DJI,20230823,34338.59,34472.98,34534.72,34321.0,34288.83,184.15,0.54,0.62,371471.69
156,DJI,20230822,34494.17,34288.83,34514.04,34256.84,34463.69,-174.86,-0.51,0.75,281317.19
157,DJI,20230821,34531.28,34463.69,34570.96,34248.46,34500.66,-36.97,-0.11,0.93,412301.32
158,DJI,20230818,34368.36,34500.66,34587.07,34263.19,34474.83,25.83,0.07,0.94,325873.32
159,DJI,20230817,34829.61,34474.83,34888.48,34440.73,34765.74,-290.91,-0.84,1.29,400797.82
160,DJI,20230816,34914.96,34765.74,35133.56,34757.37,34946.39,-180.65,-0.52,1.08,336589.63
161,DJI,20230815,35219.37,34946.39,35219.37,34908.5,35307.63,-361.24,-1.02,0.88,325690.88
162,DJI,20230814,35273.89,35307.63,35335.45,35169.97,35281.4,26.23,0.07,0.47,303581.0
163,DJI,20230811,35111.36,35281.4,35354.6,35059.99,35176.15,105.25,0.3,0.84,281949.13
164,DJI,20230810,35231.54,35176.15,35578.58,35107.6,35123.36,52.79,0.15,1.34,340732.32
165,DJI,20230809,35324.28,35123.36,35370.89,35058.73,35314.49,-191.13,-0.54,0.88,315446.13
166,DJI,20230808,35345.4,35314.49,35346.64,35007.41,35473.13,-158.64,-0.45,0.96,308554.32
167,DJI,20230807,35125.6,35473.13,35497.38,35125.6,35065.62,407.51,1.16,1.06,301688.88
168,DJI,20230804,35230.13,35065.62,35506.88,35033.76,35215.89,-150.27,-0.43,1.34,338292.0
169,DJI,20230803,35194.56,35215.89,35348.2,35122.32,35282.52,-66.63,-0.19,0.64,264870.82
170,DJI,20230802,35551.92,35282.52,35551.92,35226.26,35630.68,-348.16,-0.98,0.91,301320.19
171,DJI,20230801,35585.99,35630.68,35679.13,35526.61,35559.53,71.15,0.2,0.43,260995.32
172,DJI,20230731,35465.97,35559.53,35566.95,35430.22,35459.29,100.24,0.28,0.39,333137.0
173,DJI,20230728,35443.49,35459.29,35565.51,35355.15,35282.72,176.57,0.5,0.6,369000.63
